episode,timestep,reward
1,720,-127.3923
3,1440,-126.1915
5,2160,-125.4239
7,2880,-123.5086
9,3600,-125.2649
11,4320,-120.6837
13,5040,-120.9146
15,5760,-120.3354
17,6480,-121.7129
19,7200,-120.0651
21,7920,-121.5478
23,8640,-122.5321
25,9360,-120.4074
27,10080,-123.0862
29,10800,-122.4139
31,11520,-120.8122
33,12240,-122.1586
35,12960,-121.0835
37,13680,-123.3551
39,14400,-123.1128
41,15120,-124.4097
43,15840,-123.295
45,16560,-123.6385
47,17280,-120.9445
49,18000,-119.7366
51,18720,-121.1549
53,19440,-123.1305
55,20160,-122.3673
57,20880,-121.5445
59,21600,-121.5101
61,22320,-124.5124
63,23040,-123.4637
65,23760,-121.7723
67,24480,-123.123
69,25200,-120.611
71,25920,-122.0345
73,26640,-120.8941
75,27360,-123.2041
77,28080,-122.0973
79,28800,-122.3629
81,29520,-121.0457
83,30240,-122.565
85,30960,-122.2618
87,31680,-120.9925
89,32400,-121.4529
91,33120,-121.0579
93,33840,-123.3626
95,34560,-120.5584
97,35280,-124.216
99,36000,-121.513
101,36720,-122.6092
103,37440,-121.3931
105,38160,-120.8191
107,38880,-121.3016
109,39600,-120.7649
111,40320,-121.3616
113,41040,-121.7983
115,41760,-121.5584
117,42480,-122.356
119,43200,-120.7079
121,43920,-121.1854
123,44640,-121.7381
125,45360,-120.5727
127,46080,-118.9712
129,46800,-120.4014
131,47520,-119.4667
133,48240,-120.5153
135,48960,-120.5172
137,49680,-117.9486
139,50400,-120.9404
141,51120,-118.669
143,51840,-121.9584
145,52560,-120.681
147,53280,-118.8906
149,54000,-119.0893
151,54720,-119.2967
153,55440,-119.796
155,56160,-121.3017
157,56880,-118.0741
159,57600,-118.8238
161,58320,-119.711
163,59040,-118.7602
165,59760,-116.8558
167,60480,-118.9885
169,61200,-119.1242
171,61920,-116.2661
173,62640,-118.5962
175,63360,-118.6175
177,64080,-118.0196
179,64800,-118.8718
181,65520,-117.1321
183,66240,-117.8234
185,66960,-118.8352
187,67680,-118.5903
189,68400,-117.8158
191,69120,-118.2643
193,69840,-118.1171
195,70560,-119.9414
197,71280,-116.987
199,72000,-118.7253
201,72720,-116.2805
203,73440,-117.3879
205,74160,-117.1711
207,74880,-116.3974
209,75600,-117.018
211,76320,-118.5101
213,77040,-118.2759
215,77760,-118.0811
217,78480,-117.9562
219,79200,-118.9004
221,79920,-119.1144
223,80640,-118.2594
225,81360,-118.3007
227,82080,-117.7768
229,82800,-115.8093
231,83520,-118.8037
233,84240,-115.5171
235,84960,-117.8276
237,85680,-118.8007
239,86400,-116.5534
241,87120,-117.7253
243,87840,-115.3431
245,88560,-117.8286
247,89280,-116.9861
249,90000,-117.7846
251,90720,-115.5028
253,91440,-116.001
255,92160,-116.6921
257,92880,-116.9427
259,93600,-116.6924
261,94320,-115.4234
263,95040,-117.3801
265,95760,-116.2981
267,96480,-117.273
269,97200,-117.3605
271,97920,-114.8795
273,98640,-115.5732
275,99360,-114.469
277,100080,-115.1144
279,100800,-114.2871
281,101520,-115.5447
283,102240,-116.5617
285,102960,-116.546
287,103680,-115.2909
289,104400,-116.1591
291,105120,-116.0818
293,105840,-115.2785
295,106560,-115.3695
297,107280,-115.1205
299,108000,-116.0154
301,108720,-117.4015
303,109440,-115.653
305,110160,-114.0705
307,110880,-115.6764
309,111600,-115.7151
311,112320,-115.4833
313,113040,-114.5873
315,113760,-114.0274
317,114480,-116.1246
319,115200,-115.7945
321,115920,-115.2454
323,116640,-113.9504
325,117360,-114.7637
327,118080,-114.8952
329,118800,-114.361
331,119520,-113.4313
333,120240,-114.2942
335,120960,-114.4342
337,121680,-112.4109
339,122400,-113.6495
341,123120,-113.2509
343,123840,-114.7088
345,124560,-113.3469
347,125280,-114.6145
349,126000,-113.5046
351,126720,-114.8216
353,127440,-113.0395
355,128160,-114.613
357,128880,-112.0733
359,129600,-112.9585
361,130320,-113.4141
363,131040,-114.1865
365,131760,-113.8794
367,132480,-112.2929
369,133200,-112.3465
371,133920,-112.6782
373,134640,-110.8298
375,135360,-110.9118
377,136080,-113.3554
379,136800,-113.1485
381,137520,-111.3412
383,138240,-111.6138
385,138960,-112.1275
387,139680,-112.7159
389,140400,-112.4857
391,141120,-112.3318
393,141840,-112.6182
395,142560,-112.0595
397,143280,-112.2449
399,144000,-110.5286
401,144720,-112.152
403,145440,-110.7851
405,146160,-111.6442
407,146880,-112.2747
409,147600,-110.4159
411,148320,-111.1602
413,149040,-111.7381
415,149760,-110.886
417,150480,-109.9966
419,151200,-111.7759
