2024-12-29 19:48:01,081 - INFO - Episode done: Step: 360 | Action: 27 | Raw Reward: -2.65 | Scaled Reward: -0.7259 | Reward Compliance: -0.80 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -2.25 | Reward Entropy: 0.26 | Total Reward: -0.4033 | Compliance: 79.57 | Constraint: 0.56
2024-12-29 19:48:01,966 - INFO - Episode done: Step: 360 | Action: 32 | Raw Reward: -3.26 | Scaled Reward: -0.7653 | Reward Compliance: -0.66 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -3.00 | Reward Entropy: 0.25 | Total Reward: -0.4170 | Compliance: 65.96 | Constraint: 0.58
2024-12-29 19:48:02,834 - INFO - Episode done: Step: 360 | Action: 11 | Raw Reward: -1.35 | Scaled Reward: -0.5742 | Reward Compliance: -0.95 | Reward Density High: 0.08 | Reward Density Low: 0.08 | Reward Total Mass: -0.80 | Reward Entropy: 0.25 | Total Reward: -0.3439 | Compliance: 95.36 | Constraint: 0.52
2024-12-29 19:48:03,701 - INFO - Episode done: Step: 360 | Action: 35 | Raw Reward: -1.66 | Scaled Reward: -0.6237 | Reward Compliance: -1.21 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.85 | Reward Entropy: 0.26 | Total Reward: -0.3645 | Compliance: 120.53 | Constraint: 0.52
2024-12-29 19:48:04,655 - INFO - Episode done: Step: 360 | Action: 30 | Raw Reward: -1.19 | Scaled Reward: -0.5437 | Reward Compliance: -1.13 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.45 | Reward Entropy: 0.27 | Total Reward: -0.3305 | Compliance: 113.07 | Constraint: 0.51
2024-12-29 19:48:05,656 - INFO - Episode done: Step: 360 | Action: 12 | Raw Reward: -0.74 | Scaled Reward: -0.4259 | Reward Compliance: -1.09 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.05 | Reward Entropy: 0.25 | Total Reward: -0.2732 | Compliance: 108.99 | Constraint: 0.50
2024-12-29 19:48:06,711 - INFO - Episode done: Step: 360 | Action: 43 | Raw Reward: -1.12 | Scaled Reward: -0.5286 | Reward Compliance: -0.86 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.65 | Reward Entropy: 0.28 | Total Reward: -0.3237 | Compliance: 86.06 | Constraint: 0.52
2024-12-29 19:48:07,725 - INFO - Episode done: Step: 360 | Action: 27 | Raw Reward: -1.00 | Scaled Reward: -0.5004 | Reward Compliance: -1.05 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.35 | Reward Entropy: 0.26 | Total Reward: -0.3105 | Compliance: 105.24 | Constraint: 0.51
2024-12-29 19:48:08,756 - INFO - Episode done: Step: 360 | Action: 57 | Raw Reward: -1.42 | Scaled Reward: -0.5873 | Reward Compliance: -0.88 | Reward Density High: 0.09 | Reward Density Low: 0.09 | Reward Total Mass: -0.95 | Reward Entropy: 0.23 | Total Reward: -0.3495 | Compliance: 87.88 | Constraint: 0.53
2024-12-29 19:48:09,802 - INFO - Episode done: Step: 360 | Action: 14 | Raw Reward: -1.55 | Scaled Reward: -0.6081 | Reward Compliance: -1.00 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.95 | Reward Entropy: 0.25 | Total Reward: -0.3582 | Compliance: 100.20 | Constraint: 0.53
2024-12-29 19:48:11,361 - INFO - Episode done: Step: 360 | Action: 66 | Raw Reward: -2.74 | Scaled Reward: -0.7324 | Reward Compliance: -0.69 | Reward Density High: 0.08 | Reward Density Low: 0.08 | Reward Total Mass: -2.45 | Reward Entropy: 0.24 | Total Reward: -0.4056 | Compliance: 68.96 | Constraint: 0.57
